Framework_ID,Framework,chunks_evaluated,crypto_assets_llm,crypto_assets_expert,crypto_assets_delta,crypto_agility_llm,crypto_agility_expert,crypto_agility_delta,migration_planning_llm,migration_planning_expert,migration_planning_delta,risk_management_llm,risk_management_expert,risk_management_delta,standards_compliance_llm,standards_compliance_expert,standards_compliance_delta,mean_delta,raw_response
011,Post-Quantum Cryptography (PQC) Network Instrument: Measuring PQC Adoption Rates and Identifying Migration Pathways.pdf,3,2,5,3,2,1,1,1,1,0,1,2,1,3,3,0,1.0,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 1, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 2, ""standards_compliance"": 4} JSON: {""crypto_assets"": 1, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 2, ""standards_compliance"": 4} |  {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 0, ""risk_management"": 0, ""standards_compliance"": 2} JSON: {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 0, ""risk_management"": 0, ""standa"
012,Practical Preparations for the Post-Quantum World.pdf,3,1,3,2,1,3,2,1,3,2,2,3,1,1,3,2,1.8,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0} JSON: {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards"
013,Preparing for Quantum-Safe Cryptography.pdf,1,1,2,1,1,1,0,2,2,0,3,2,1,2,3,1,0.6,"[Aggregated from 1/1 chunks using mean]  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 2}"
014,Product Categories for Technologies That Use Post-Quantum Cryptography Standards _ CISA.pdf,1,1,3,2,1,2,1,2,2,0,1,2,1,4,4,0,0.8,"[Aggregated from 1/1 chunks using mean]  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 2, ""risk_management"": 1, ""standards_compliance"": 4}"
015,QUANTUM COMPUTING IN FINANCE: A STRATEGIC ROADMAP FOR INVESTORS AND BANKS.pdf,1,1,0,1,1,1,0,2,2,0,2,1,1,1,1,0,0.4,"[Aggregated from 1/1 chunks using mean]  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 2, ""risk_management"": 2, ""standards_compliance"": 1}"
016,QUANTUM READINESS INDEX.pdf,3,1,5,4,1,4,3,2,4,2,3,5,2,2,3,1,2.4,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 1, ""risk_management"": 2, ""standards_compliance"": 1} |  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 2} JSON: {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 3, ""standards"
017,QUANTUM-SAFE MIGRATION HANDBOOK.pdf,3,2,5,3,1,5,4,2,5,3,3,5,2,2,5,3,3.0,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 1, ""risk_management"": 2, ""standards_compliance"": 1} |  {""crypto_assets"": 2, ""crypto_agility"": 0, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 2} JSON: {""crypto_assets"": 2, ""crypto_agility"": 0, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 4, ""risk_management"": 4, ""standards"
018,Quantum Computing Cybersecurity Preparedness Act.pdf,1,3,3,0,2,1,1,4,3,1,3,2,1,3,3,0,0.6,"[Aggregated from 1/1 chunks using mean]  {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 3} JSON: {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 3}"
019,Quantum Readiness in Cryptography: A Maturity-Based Framework for Post- Quantum Transition.pdf,3,1,3,2,3,5,2,2,3,1,4,4,0,4,5,1,1.2,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 3} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 4, ""standards_compliance"": 5} |  {""crypto_assets"": 3, ""crypto_agility"": 4, ""migration_planning"": 3, ""risk_management"": 4, ""standards_compliance"": 4}"
020,Quantum Readiness: Unlocking the Quantum Advantage for Australian Industries.pdf,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0.2,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 3, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0}"
021,Quantum computing and the financial system- opportunities and risks.pdf,3,0,1,1,0,2,2,0,2,2,2,2,0,0,3,3,1.6,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0}"
022,Transitioning organizations to post-quantum cryptography.pdf,3,0,2,2,1,3,2,2,3,1,1,3,2,3,4,1,1.6,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 2} JSON: {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 2} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 3} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 0, ""standards"
023,WEF_Quantum_Readiness_Toolkit_2023.pdf,3,1,3,2,3,4,1,3,4,1,4,4,0,1,2,1,1.0,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 2, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 0} JSON: {""crypto_assets"": 0, ""crypto_agility"": 2, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 4, ""standards_compliance"": 0} |  {""crypto_assets"": 3, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 4, ""standards"
024,WEF_Transitioning to_a_Quantum_Secure_Economy_2022.pdf,3,0,3,3,0,4,4,0,4,4,2,4,2,0,3,3,3.2,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 1, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 1, ""risk_management"": 2, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0}"
025,draft-ietf-pquip-pqc-engineers-14 - Post-Quantum Cryptography for Engineers.pdf,3,0,2,2,1,4,3,1,2,1,2,2,0,2,4,2,1.6,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 1, ""standards_compliance"": 2} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 3} JSON: {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 3} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 1, ""standards"
026,itsm.40.001-migration-post-quantum-cryptography-government-canada-e.pdf,3,3,5,2,2,3,1,4,5,1,2,4,2,2,5,3,1.8,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 3, ""risk_management"": 1, ""standards_compliance"": 2} JSON: {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 3, ""risk_management"": 1, ""standards_compliance"": 2} |  {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 4, ""risk_management"": 2, ""standards_compliance"": 3} |  {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 4, ""risk_management"": 4, ""standards"
027,pdf-quantum-threat-timeline-report-2025.pdf,3,0,0,0,0,1,1,1,1,0,3,3,0,0,2,2,0.6,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 2, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 3, ""risk_management"": 4, ""standards_compliance"": 0} |  {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 3, ""standards_compliance"": 0} JSON: {""crypto_assets"": 0, ""crypto_agility"": 0, ""migration_planning"": 0, ""risk_management"": 3, ""standards"
028,pqc-migration-nist-sp-1800-38b-preliminary-draft.pdf,3,3,4,1,1,4,3,2,5,3,2,4,2,2,5,3,2.4,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 2, ""standards_compliance"": 3} |  {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 1, ""risk_management"": 1, ""standards_compliance"": 2} JSON: {""crypto_assets"": 1, ""crypto_agility"": 1, ""migration_planning"": 1, ""risk_management"": 1, ""standards_compliance"": 2} |  {""crypto_assets"": 3, ""crypto_agility"": 0, ""migration_planning"": 2, ""risk_management"": 2, ""standards"
029,quantum-safe-cryptography.pdf,3,1,2,1,2,3,1,2,3,1,2,3,1,2,4,2,1.2,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 2, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 2} JSON: {""crypto_assets"": 2, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 3, ""standards_compliance"": 3} JSON: {""crypto_assets"": 0, ""crypto_agility"": 3, ""migration_planning"": 2, ""risk_management"": 3, ""standa"
030,tr_103619v010101p.pdf,3,3,4,1,2,5,3,3,5,2,2,3,1,2,5,3,2.0,"[Aggregated from 3/3 chunks using mean]  {""crypto_assets"": 3, ""crypto_agility"": 2, ""migration_planning"": 4, ""risk_management"": 3, ""standards_compliance"": 2} |  {""crypto_assets"": 3, ""crypto_agility"": 1, ""migration_planning"": 3, ""risk_management"": 2, ""standards_compliance"": 3} |  {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 0, ""standards_compliance"": 2} JSON: {""crypto_assets"": 4, ""crypto_agility"": 3, ""migration_planning"": 3, ""risk_management"": 0, ""standards"
